year,district,discode,total_salary,avg_salary,n_FTE,avgCPI,adjust97,adjust21
1997,Abington,10000,5694240,39932,142.6,164.7666667,39932.00808,67600.52169
1997,Acton,20000,5702250,46817,121.8,164.7666667,46817.00947,79256.07593
1997,Acton-Boxborough,6000000,5221907,40988,127.4,164.7666667,40988.00829,69388.21454
1997,Acushnet,30000,2470651,38010,65,164.7666667,38010.00769,64346.78527
1997,Adams-Cheshire,6030000,5096381,38033,134,164.7666667,38033.00769,64385.72176
1997,Agawam,50000,10998365,41270,266.5,164.7666667,41270.00835,69865.60979
1997,Amesbury,70000,7293438,35132,207.6,164.7666667,35132.00711,59474.6451
1997,Amherst,80000,5846969,42277,138.3,164.7666667,42277.00855,71570.35099
1997,Amherst-Pelham,6050000,6084876,43216,140.8,164.7666667,43216.00874,73159.97559
1997,Andover,90000,16876982,48386,348.8,164.7666667,48386.00979,81912.22184
1997,Arlington,100000,12544878,46104,272.1,164.7666667,46104.00933,78049.04468
1997,Ashburnham-Westminster,6100000,6108909,36890,165.6,164.7666667,36890.00746,62450.7474
1997,Ashland,140000,5544299,40089,138.3,164.7666667,40089.00811,67866.30557
1997,Assabet Valley Regional Vocational Technical,8010000,4323987,49530,87.3,164.7666667,49530.01002,83848.8891
1997,Athol-Royalston,6150000,5793542,36645,158.1,164.7666667,36645.00741,62035.98912
1997,Attleboro,160000,16068704,41791,384.5,164.7666667,41791.00845,70747.60598
1997,Auburn,170000,7217963,45425,158.9,164.7666667,45425.00919,76899.57172
1997,Avon,180000,2301423,40376,57,164.7666667,40376.00817,68352.16528
1997,Ayer,190000,3480504,30504,114.1,164.7666667,30504.00617,51639.94575
1997,Barnstable,200000,19652351,44432,442.3,164.7666667,44432.00899,75218.531
1997,Bedford,230000,6954786,43576,159.6,164.7666667,43576.00882,73769.41634
1997,Belchertown,240000,4806513,36166,132.9,164.7666667,36166.00732,61225.09435
1997,Bellingham,250000,6886486,42326,162.7,164.7666667,42326.00856,71653.30264
1997,Belmont,260000,10789411,49561,217.7,164.7666667,49561.01003,83901.36872
1997,Berkley,270000,2047342,40302,50.8,164.7666667,40302.00815,68226.89135
1997,Berkshire Hills,6180000,5833809,42305,137.9,164.7666667,42305.00856,71617.75193
1997,Berlin,280000,652489,32624,20,164.7666667,32624.0066,55228.87458
1997,Berlin-Boylston,6200000,1358317,39486,34.4,164.7666667,39486.00799,66845.49232
1997,Beverly,300000,12633928,42043,300.5,164.7666667,42043.00851,71174.2145
1997,Billerica,310000,18149626,35106,517,164.7666667,35106.0071,59430.62993
1997,Blackstone-Millville,6220000,5950405,40534,146.8,164.7666667,40534.0082,68619.64205
1997,Blackstone Valley Regional Vocational Technical,8050000,2854539,41370,69,164.7666667,41370.00837,70034.89889
1997,Blue Hills Regional Vocational Technical,8060000,4144533,50237,82.5,164.7666667,50237.01016,85045.763
1997,Boston,350000,216150797,50857,4250.2,164.7666667,50857.01029,86095.3554
1997,Bourne,360000,6106351,41625,146.7,164.7666667,41625.00842,70466.58608
1997,Boxborough,370000,1237485,42380,29.2,164.7666667,42380.00857,71744.71875
1997,Boxford,380000,2418524,42356,57.1,164.7666667,42356.00857,71704.08937
1997,Boylston,390000,956582,46212,20.7,164.7666667,46212.00935,78231.8769
1997,Braintree,400000,15694055,46584,336.9,164.7666667,46584.00942,78861.63234
1997,Brewster,410000,2077960,37919,54.8,164.7666667,37919.00767,64192.7322
1997,Bridgewater-Raynham,6250000,14190645,51734,274.3,164.7666667,51734.01047,87580.02076
1997,Brimfield,430000,869655,37647,23.1,164.7666667,37647.00762,63732.26585
1997,Bristol County Agricultural,9100000,1265802,40832,31,164.7666667,40832.00826,69124.12355
1997,Bristol-Plymouth Regional Vocational Technical,8100000,2864127,39288,72.9,164.7666667,39288.00795,66510.29992
1997,Brockton,440000,39043451,46260,844,164.7666667,46260.00936,78313.13567
1997,Brookfield,450000,977277,36062,27.1,164.7666667,36062.0073,61049.03369
1997,Brookline,460000,21503715,47116,456.4,164.7666667,47116.00953,79762.25033
1997,Burlington,480000,12843350,48667,263.9,164.7666667,48667.00985,82387.9242
1997,Cambridge,490000,34788609,49726,699.6,164.7666667,49726.01006,84180.69572
1997,Canton,500000,8295513,41939,197.8,164.7666667,41939.00848,70998.15384
1997,Cape Cod Regional Vocational Technical,8150000,2473531,41226,60,164.7666667,41226.00834,69791.12259
1997,Carlisle,510000,2348044,47340,49.6,164.7666667,47340.00958,80141.4579
1997,Carver,520000,5725701,41641,137.5,164.7666667,41641.00842,70493.67234
1997,Central Berkshire,6350000,7026077,44724,157.1,164.7666667,44724.00905,75712.85516
1997,Chatham,550000,2801523,45553,61.5,164.7666667,45553.00922,77116.26176
1997,Chelmsford,560000,15742277,46824,336.2,164.7666667,46824.00947,79267.92617
1997,Chelsea,570000,11273357,31578,357,164.7666667,31578.00639,53458.11064
1997,Chesterfield-Goshen,6320000,467948,35451,13.2,164.7666667,35451.00717,60014.67731
1997,Chicopee,610000,20361141,34278,594,164.7666667,34278.00693,58028.91622
1997,Clarksburg,630000,574745,37565,15.3,164.7666667,37565.0076,63593.4488
1997,Clinton,640000,5460434,38238,142.8,164.7666667,38238.00774,64732.76441
1997,Cohasset,650000,3856414,43724,88.2,164.7666667,43724.00885,74019.9642
1997,Concord,670000,7065424,55459,127.4,164.7666667,55459.01122,93886.03958
1997,Concord-Carlisle,6400000,4080256,60181,67.8,164.7666667,60181.01217,101879.8707
1997,Conway,680000,538614,38749,13.9,164.7666667,38749.00784,65597.83169
1997,Danvers,710000,10769103,44834,240.2,164.7666667,44834.00907,75899.07316
1997,Dartmouth,720000,10552998,35460,297.6,164.7666667,35460.00717,60029.91333
1997,Dedham,730000,9288847,41974,221.3,164.7666667,41974.00849,71057.40503
1997,Deerfield,740000,1229784,41268,29.8,164.7666667,41268.00835,69862.22401
1997,Dennis-Yarmouth,6450000,12400286,43282,286.5,164.7666667,43282.00876,73271.7064
