"year","district","discode","total_salary","avg_salary","n_FTE","avgCPI","adjust97","adjust21"
1997,"Abington","00010000",5694240,39932,142.6,164.766666666667,39932.0080784948,67600.5216912806
1997,"Acton","00020000",5702250,46817,121.8,164.766666666667,46817.0094713737,79256.0759295974
1997,"Acton-Boxborough","06000000",5221907,40988,127.4,164.766666666667,40988.0082921303,69388.2145417763
1997,"Acushnet","00030000",2470651,38010,65,164.766666666667,38010.0076896621,64346.785272102
1997,"Adams-Cheshire","06030000",5096381,38033,134,164.766666666667,38033.0076943152,64385.7217641109
1997,"Agawam","00050000",10998365,41270,266.5,164.766666666667,41270.0083491807,69865.6097916245
1997,"Amesbury","00070000",7293438,35132,207.6,164.766666666667,35132.0071074246,59474.6450981186
1997,"Amherst","00080000",5846969,42277,138.3,164.766666666667,42277.0085529031,71570.3509852316
1997,"Amherst-Pelham","06050000",6084876,43216,140.8,164.766666666667,43216.0087428687,73159.975593769
1997,"Andover","00090000",16876982,48386,348.8,164.766666666667,48386.0097887922,81912.2218409873
1997,"Arlington","00100000",12544878,46104,272.1,164.766666666667,46104.0093271293,78049.0446773215
1997,"Ashburnham-Westminster","06100000",6108909,36890,165.6,164.766666666667,36890.0074630791,62450.7474003642
1997,"Ashland","00140000",5544299,40089,138.3,164.766666666667,40089.0081102569,67866.3055715153
1997,"Assabet Valley Regional Vocational Technical","08010000",4323987,49530,87.3,164.766666666667,49530.0100202306,83848.8890956909
1997,"Athol-Royalston","06150000",5793542,36645,158.1,164.766666666667,36645.0074135141,62035.9891159215
1997,"Attleboro","00160000",16068704,41791,384.5,164.766666666667,41791.0084545822,70747.605980174
1997,"Auburn","00170000",7217963,45425,158.9,164.766666666667,45425.0091897633,76899.5717175804
1997,"Avon","00180000",2301423,40376,57,164.766666666667,40376.0081683188,68352.1652761481
1997,"Ayer","00190000",3480504,30504,114.1,164.766666666667,30504.0061711511,51639.9457495448
1997,"Barnstable","00200000",19652351,44432,442.3,164.766666666667,44432.0089888732,75218.53099737
1997,"Bedford","00230000",6954786,43576,159.6,164.766666666667,43576.008815699,73769.4163382561
1997,"Belchertown","00240000",4806513,36166,132.9,164.766666666667,36166.0073166093,61225.0943475622
